,num_documents,avg_document_length,median_document_length,rouge_l_mean,rouge_l_median,rouge_l_std,bleu_mean,bleu_median,bleu_std,jaccard_mean,jaccard_median,jaccard_std,tfidf_mean,tfidf_median,tfidf_std
seed_10_crawl_200_(1)dclm_fasttext,200.0,782.31,657.0,0.13430077439173763,0.12048192771084337,0.15807167633611743,0.0349164085988342,0.005301208997957491,0.14438790354932565,0.10897561606419424,0.08943089430894309,0.14956160894066264,0.12017929096072807,0.09900801527373133,0.15193195111569568
seed_10_crawl_200_dclm_fasttext,200.0,779.485,659.0,0.14002435788251244,0.12167300380228138,0.161291748670947,0.037318240474142214,0.005504024091843296,0.14900015686927404,0.11350614577942751,0.09016393442622951,0.1531278370882798,0.1249332940220113,0.1008337527330875,0.15495411366251027
seed_10_crawl_200_indegree,200.0,1024.72,745.5,0.04499620569988927,0.009070294784580497,0.09705794099813472,0.00945293370683145,0.0002234687664169194,0.0728533245240633,0.03725567257170512,0.006024096385542169,0.089437208368776,0.04698968925513097,0.0,0.10789279271253868
seed_10_crawl_200_random,200.0,1040.235,714.0,0.04201563995796253,0.007017543859649123,0.08536283763038173,0.006676472978958142,1.5915987665319368e-14,0.05694745040016888,0.03299716901546322,0.003105590062111801,0.07655876574068161,0.044867119834810135,0.0,0.09993808928862125
